date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-05-15,5.01,5.06,5.03,5.0,50098.25,0.03,0.6,5.002,5.017,5.226,90619.63,79450.02,92928.13,0.45
2017-05-12,5.0,5.04,5.0,4.96,63931.24,-0.02,-0.4,4.976,5.029,5.269,93781.94,81454.92,98033.99,0.57
2017-05-11,4.92,5.04,5.02,4.87,114291.63,0.08,1.62,4.966,5.043,5.319,99848.36,94797.95,104142.45,1.02
2017-05-10,4.99,5.04,4.94,4.92,83948.61,-0.08,-1.59,4.976,5.067,5.367,89681.82,89422.51,109868.98,0.75
2017-05-09,4.9,5.08,5.02,4.88,140828.41,0.12,2.45,5.01,5.105,5.418,85841.5,86803.05,116715.55,1.26
2017-05-08,4.93,4.97,4.9,4.9,65909.8,-0.05,-1.01,5.032,5.133,5.464,68280.42,85125.85,119161.59,0.59
2017-05-05,5.07,5.07,4.95,4.95,94263.33,-0.12,-2.37,5.082,5.194,5.521,69127.91,85356.77,127017.18,0.84
2017-05-04,5.1,5.12,5.07,5.05,63458.93,-0.04,-0.78,5.12,5.251,5.577,89747.54,87950.45,139482.71,0.57
2017-05-03,5.09,5.14,5.11,5.07,64747.03,-0.02,-0.39,5.158,5.305,5.63,89163.2,95706.52,153891.3,0.58
2017-05-02,5.17,5.18,5.13,5.12,53023.0,-0.02,-0.39,5.2,5.366,5.672,87764.6,98747.01,163110.55,0.48
2017-04-28,5.13,5.19,5.15,5.08,70147.24,0.01,0.2,5.234,5.434,5.713,101971.28,106406.24,182289.67,0.63
2017-04-27,5.27,5.27,5.14,4.9,197361.48,-0.12,-2.28,5.306,5.509,5.748,101585.64,114613.06,183669.18,1.77
2017-04-26,5.34,5.35,5.26,5.25,60537.23,-0.06,-1.13,5.382,5.595,5.786,86153.37,113486.96,178262.61,0.54
2017-04-25,5.3,5.38,5.32,5.27,57754.06,0.02,0.38,5.452,5.667,5.817,102249.84,130315.46,179231.57,0.52
2017-04-24,5.5,5.51,5.3,5.29,124056.39,-0.21,-3.81,5.532,5.73,5.847,109729.43,146628.04,182832.51,1.11
2017-04-21,5.53,5.55,5.51,5.49,68219.05,-0.01,-0.18,5.634,5.794,5.877,110841.2,153197.33,184854.66,0.61
